time,fairness_index,collapse_proxy,scarcity_level,population_size
0,0.85,0.05,0.1,500
50,0.82,0.08,0.15,500
100,0.78,0.12,0.20,500
150,0.72,0.18,0.25,500
200,0.65,0.25,0.30,500
250,0.58,0.32,0.35,500
300,0.52,0.38,0.40,500
350,0.48,0.42,0.45,500
400,0.45,0.45,0.50,500
450,0.42,0.48,0.55,500
500,0.40,0.50,0.60,500
550,0.38,0.52,0.65,500
600,0.35,0.55,0.70,500
650,0.32,0.58,0.75,500
700,0.28,0.62,0.80,500
750,0.25,0.65,0.85,500
800,0.22,0.68,0.90,500
850,0.18,0.72,0.95,500
900,0.15,0.75,1.0,500
950,0.12,0.78,1.0,500
1000,0.10,0.80,1.0,500
