run_id,label,seed,mechanism,bound_fraction,energy_drift,time_sec,question,field_coherence_mean,result_dir,collective_cci_delta,survival_rate,collapse_risk
0,Q1_A_independent,101,gravity_nbody,0.7933333333333333,0.7704595949246699,12.864079236984253,1,,,,,
0,Q1_A_independent,202,gravity_nbody,0.7466666666666667,0.7365059781773071,12.539934158325195,1,,,,,
2,Q2_vacuum_closed,101,gravity_nbody,,,0.0010941028594970703,2,0.05534012335081729,,,,
2,Q2_vacuum_closed,202,gravity_nbody,,,0.0007388591766357422,2,0.055265674438943875,,,,
4,Q3_continuous,101,gravity_nbody,0.98,0.0003348917613254973,7.213431119918823,3,,,,,
4,Q3_continuous,202,gravity_nbody,0.95,0.000527374525793194,7.118022918701172,3,,,,,
7,Q4_2D,101,gravity_nbody,0.77,0.9472590972431102,37.07946801185608,4,,,,,
7,Q4_2D,202,gravity_nbody,0.67,1.0581147361391623,36.861599922180176,4,,,,,
11,Q5_infinite,101,gravity_nbody,0.7444444444444445,0.8843413759931108,29.710916996002197,5,,,,,
11,Q5_infinite,202,gravity_nbody,0.6611111111111111,1.0847955350569116,29.859328031539917,5,,,,,
14,Q6_flat,101,calibration,,,0.22960591316223145,6,,space_suite_outputs/20251005_000442/data/run_14/calibration_20251005_000735,,,
14,Q6_flat,202,calibration,,,0.21537375450134277,6,,space_suite_outputs/20251005_000442/data/run_14/calibration_20251005_000735,,,
17,Q7_softWrap,101,gravity_nbody,0.76,0.6291202835792804,7.189112186431885,7,,,,,
17,Q7_softWrap,202,gravity_nbody,0.74,0.7526115852530413,7.120786905288696,7,,,,,
20,Q8_none,101,meaning_experiment,,,0.06581807136535645,8,,,0.030140277664773896,1.0,0.0
20,Q8_none,202,meaning_experiment,,,0.06368684768676758,8,,,0.035965583843369564,1.0,0.0
23,Q9_absolute,101,gravity_nbody,0.80625,0.6999400985592585,14.21143388748169,9,,,,,
23,Q9_absolute,202,gravity_nbody,0.60625,1.0285365584455661,14.286770820617676,9,,,,,
25,Q10_closed,101,gravity_nbody,0.8,0.8207938335463976,22.583855152130127,10,,,,,
25,Q10_closed,202,gravity_nbody,0.6833333333333333,1.024424365749757,22.480659246444702,10,,,,,
27,Q11_create,101,gravity_nbody,0.735,1.0010102858104732,46.53222990036011,11,,,,,
27,Q11_create,202,gravity_nbody,0.65,1.1021821046059568,45.793734073638916,11,,,,,
